float_id,platform_number,cycle_number,profile_date,latitude,longitude,pressure,temperature,salinity
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,5.5,27.38800048828125,35.37699890136719
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,9.399999618530273,27.375,35.37699890136719
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,14.300000190734863,27.302000045776367,35.375999450683594
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,18.899999618530273,27.26799964904785,35.374000549316406
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,23.899999618530273,27.246999740600586,35.37300109863281
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,29.0,27.243000030517578,35.374000549316406
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,34.400001525878906,27.23900032043457,35.375
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,39.20000076293945,27.231000900268555,35.374000549316406
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,43.900001525878906,27.226999282836914,35.37200164794922
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,49.29999923706055,27.180999755859375,35.36899948120117
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,59.400001525878906,26.874000549316406,35.4010009765625
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,69.5999984741211,26.231000900268555,35.4010009765625
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,79.19999694824219,25.461000442504883,35.4010009765625
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,89.69999694824219,23.930999755859375,35.30400085449219
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,99.4000015258789,21.16900062561035,35.13100051879883
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,109.30000305175781,19.968000411987305,35.104000091552734
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,119.5999984741211,19.70800018310547,35.10100173950195
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,129.3000030517578,18.54599952697754,35.108001708984375
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,138.89999389648438,18.069000244140625,35.10200119018555
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,149.39999389648438,16.922000885009766,35.08399963378906
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,168.89999389648438,16.142000198364258,35.09400177001953
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,189.1999969482422,14.663000106811523,35.084999084472656
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,209.60000610351562,13.817999839782715,35.11800003051758
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,229.5,13.267000198364258,35.10300064086914
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,248.8000030517578,12.710000038146973,35.09199905395508
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,299.0,11.5649995803833,34.98099899291992
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,349.3999938964844,10.741000175476074,34.915000915527344
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,399.20001220703125,9.875,34.83599853515625
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,449.3999938964844,9.37600040435791,34.79899978637695
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,499.29998779296875,8.95300006866455,34.7869987487793
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,599.0999755859375,8.293000221252441,34.766998291015625
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,699.5,7.497000217437744,34.77399826049805
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,799.5999755859375,6.8460001945495605,34.77399826049805
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,898.7999877929688,6.34499979019165,34.77000045776367
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,999.2999877929688,5.863999843597412,34.76900100708008
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1099.4000244140625,5.47599983215332,34.76900100708008
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1199.4000244140625,4.9710001945495605,34.76499938964844
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1299.0999755859375,4.480000019073486,34.7599983215332
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1399.5999755859375,3.990999937057495,34.74599838256836
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1499.300048828125,3.744999885559082,34.742000579833984
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1599.0999755859375,3.4760000705718994,34.73899841308594
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1698.9000244140625,3.2639999389648438,34.7400016784668
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1799.5,3.0169999599456787,34.737998962402344
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1899.0,2.8320000171661377,34.73699951171875
1900121,b'1900121 ',1,2002-11-11T09:20:28.000000000,-9.857,55.953,1998.9000244140625,2.5880000591278076,34.736000061035156
1900121,b'1900121 ',2,2002-11-21T09:37:06.000000256,-9.925,55.695,7.5,27.586000442504883,34.82600021362305
1900121,b'1900121 ',2,2002-11-21T09:37:06.000000256,-9.925,55.695,9.399999618530273,27.43000030517578,34.832000732421875
1900121,b'1900121 ',2,2002-11-21T09:37:06.000000256,-9.925,55.695,14.100000381469727,27.40399932861328,34.8380012512207
1900121,b'1900121 ',2,2002-11-21T09:37:06.000000256,-9.925,55.695,19.399999618530273,27.391000747680664,34.84700012207031
